code_discription,address_raw,data_short,cost
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам  ул.мордовцева, 6",03-2022,30173.14625595237
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам  ул.мордовцева, 6",04-2022,26250.58495595237
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам  ул.мордовцева, 6",05-2022,19972.23793928572
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам  ул.мордовцева, 6",06-2022,16155.15438142857
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам  ул.мордовцева, 6",07-2022,16641.83725761905
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам  ул.мордовцева, 6",08-2022,19839.18105095239
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам  ул.мордовцева, 6",09-2022,18527.78695595239
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам  ул.мордовцева, 6",10-2022,17384.540125
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам  ул.мордовцева, 6",12-2022,56507.45281857142
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам  ул.светланская, 111",02-2022,133354.7104918903
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам  ул.светланская, 111",03-2022,143575.6366318146
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам  ул.светланская, 111",04-2022,121535.6442052093
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам  ул.светланская, 111",05-2022,139969.4350456349
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам  ул.светланская, 111",06-2022,121486.6138652093
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам  ул.светланская, 111",07-2022,117197.5818925
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам  ул.светланская, 111",08-2022,130238.976619394
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам  ул.светланская, 111",09-2022,144954.0684283911
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам  ул.светланская, 111",10-2022,165210.1200915874
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам  ул.светланская, 111",11-2022,146480.2003288096
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам  ул.светланская, 111",12-2022,129424.1869575168
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам океанский пр-т, 34",02-2022,528953.6756133332
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам океанский пр-т, 34",03-2022,527065.6057466664
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам океанский пр-т, 34",04-2022,531933.3372766662
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам океанский пр-т, 34",05-2022,553430.321901666
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам океанский пр-т, 34",06-2022,567466.0700564281
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам океанский пр-т, 34",07-2022,657729.9598297616
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам океанский пр-т, 34",08-2022,638276.8510983333
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам океанский пр-т, 34",09-2022,627413.3523733333
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам океанский пр-т, 34",10-2022,631405.9006399997
Электроэнергия,"134.1000.01 дгу. оплата за электроэнергию по тарифам океанский пр-т, 34",11-2022,706439.2792357138
